service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
WK_merged_110304389,20160814,20161022,1,1,1,1,1,0,0
SU_merged_110304396,20161023,20161217,0,0,0,0,0,0,1
FR_merged_110304393,20161023,20161217,0,0,0,0,1,0,0
MT_merged_110304387,20160814,20161022,1,1,1,1,0,0,0
WK_merged_110304394,20161023,20161217,1,1,1,1,1,0,0
FR_merged_110304388,20160814,20161022,0,0,0,0,1,0,0
MT_merged_110304392,20161023,20161217,1,1,1,1,0,0,0
SA_merged_110304390,20160814,20161022,0,0,0,0,0,1,0
SA_merged_110304395,20161023,20161217,0,0,0,0,0,1,0
SU_merged_110304391,20160814,20161022,0,0,0,0,0,0,1
