block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_0  8,0,0,Union Station,932312,SU_merged_110304396,110220281
b_0  4,0,0,Union Station,932318,SU_merged_110304396,110220280
b_0  1,0,0,Union Station,932318,SU_merged_110304396,110220283
b_0 12,0,0,Union Station,932318,SU_merged_110304396,110220282
b_0  1,0,0,Union Station,932313,SU_merged_110304396,110220285
b_0  6,0,0,Union Station,932312,SU_merged_110304396,110220284
b_0  2,0,0,Union Station,932318,SU_merged_110304396,110220287
b_0 10,0,0,Union Station,932312,SU_merged_110304396,110220286
b_0 12,0,0,Union Station,932312,SU_merged_110304396,110220289
b_0  8,0,0,Union Station,932312,SU_merged_110304396,110220288
b_135  9,135,1,Nine Mile Stn via Smoky Hill,932599,SA_merged_110304395,110226538
b_15  9,15,1,Union Station Downtown,932633,WK_merged_110304394,110227391
b_101  5,101D,1,D-Line Mineral,932459,SA_merged_110304395,110223025
a_8 11,8,0,Wagon Rd PnR,925459,SA_merged_110304390,110153387
a_8  2,8,0,Wagon Rd PnR,925459,SA_merged_110304390,110153386
a_8 11,8,0,Wagon Rd PnR,925459,SA_merged_110304390,110153385
a_8  2,8,0,Wagon Rd PnR,925459,SA_merged_110304390,110153384
a_8 11,8,0,Wagon Rd PnR,925459,SA_merged_110304390,110153383
a_8  2,8,0,Wagon Rd PnR,925459,SA_merged_110304390,110153382
a_8 11,8,0,Wagon Rd PnR,925459,SA_merged_110304390,110153381
a_8  2,8,0,Wagon Rd PnR,925459,SA_merged_110304390,110153380
a_8 11,8,0,Wagon Rd PnR,925459,SA_merged_110304390,110153389
a_8  2,8,0,Wagon Rd PnR,925459,SA_merged_110304390,110153388
b_101 66,101D,0,D-Line 18th & California,932427,MT_merged_110304392,110221999
a_76 28,12,1,Englewood Stn,924913,WK_merged_110304389,110142145
a_12  7,12,1,Englewood Stn,924914,WK_merged_110304389,110142144
a_12  6,12,1,Englewood Stn,924914,WK_merged_110304389,110142149
b_15L 11,15L,1,Decatur Station via E Colfax,932649,WK_merged_110304394,110228212
a_12 14,12,1,Englewood Stn,924914,WK_merged_110304389,110142148
b_15L  3,15L,1,Decatur Station via E Colfax,932648,WK_merged_110304394,110228213
b_15L 10,15L,1,Decatur Station via E Colfax,932648,WK_merged_110304394,110228210
b_15L 23,15L,1,Decatur Station via E Colfax,932649,WK_merged_110304394,110228211
